,Date,Resi_Gas,Elect_Price
0,1990-01-01,5.43,
1,1990-02-01,5.65,
2,1990-03-01,5.6,
3,1990-04-01,5.64,
4,1990-05-01,6.0,
5,1990-06-01,6.56,
6,1990-07-01,7.04,
7,1990-08-01,7.08,
8,1990-09-01,6.9,
9,1990-10-01,6.14,
10,1990-11-01,5.69,
11,1990-12-01,5.62,
12,1991-01-01,5.54,
13,1991-02-01,5.56,
14,1991-03-01,5.6,
15,1991-04-01,5.9,
16,1991-05-01,6.28,
17,1991-06-01,6.97,
18,1991-07-01,7.23,
19,1991-08-01,7.36,
20,1991-09-01,6.92,
21,1991-10-01,6.2,
22,1991-11-01,5.51,
23,1991-12-01,5.51,
24,1992-01-01,5.53,
25,1992-02-01,5.54,
26,1992-03-01,5.5,
27,1992-04-01,5.62,
28,1992-05-01,6.15,
29,1992-06-01,6.84,
30,1992-07-01,7.27,
31,1992-08-01,7.45,
32,1992-09-01,7.15,
33,1992-10-01,6.52,
34,1992-11-01,6.02,
35,1992-12-01,5.74,
36,1993-01-01,5.73,
37,1993-02-01,5.73,
38,1993-03-01,5.67,
39,1993-04-01,6.02,
40,1993-05-01,6.78,
41,1993-06-01,7.37,
42,1993-07-01,7.86,
43,1993-08-01,8.13,
44,1993-09-01,7.75,
45,1993-10-01,6.79,
46,1993-11-01,6.17,
47,1993-12-01,6.07,
48,1994-01-01,5.93,
49,1994-02-01,6.04,
50,1994-03-01,6.3,
51,1994-04-01,6.6,
52,1994-05-01,6.84,
53,1994-06-01,7.66,
54,1994-07-01,8.1,
55,1994-08-01,8.22,
56,1994-09-01,7.84,
57,1994-10-01,6.86,
58,1994-11-01,6.27,
59,1994-12-01,6.06,
60,1995-01-01,5.85,
61,1995-02-01,5.76,
62,1995-03-01,5.84,
63,1995-04-01,6.06,
64,1995-05-01,6.54,
65,1995-06-01,7.49,
66,1995-07-01,7.82,
67,1995-08-01,8.13,
68,1995-09-01,7.73,
69,1995-10-01,6.62,
70,1995-11-01,5.61,
71,1995-12-01,5.54,
72,1996-01-01,5.64,
73,1996-02-01,5.82,
74,1996-03-01,5.93,
75,1996-04-01,6.27,
76,1996-05-01,6.84,
77,1996-06-01,7.83,
78,1996-07-01,8.64,
79,1996-08-01,8.73,
80,1996-09-01,7.99,
81,1996-10-01,7.05,
82,1996-11-01,6.37,
83,1996-12-01,6.47,
84,1997-01-01,6.74,
85,1997-02-01,6.79,
86,1997-03-01,6.52,
87,1997-04-01,6.53,
88,1997-05-01,6.83,
89,1997-06-01,8.3,
90,1997-07-01,8.78,
91,1997-08-01,8.99,
92,1997-09-01,8.84,
93,1997-10-01,7.69,
94,1997-11-01,6.86,
95,1997-12-01,6.54,
96,1998-01-01,6.41,
97,1998-02-01,6.41,
98,1998-03-01,6.29,
99,1998-04-01,6.81,
100,1998-05-01,7.7,
101,1998-06-01,8.51,
102,1998-07-01,8.53,
103,1998-08-01,9.25,
104,1998-09-01,8.96,
105,1998-10-01,7.6,
106,1998-11-01,6.58,
107,1998-12-01,6.34,
108,1999-01-01,6.0,
109,1999-02-01,6.29,
110,1999-03-01,6.06,
111,1999-04-01,6.44,
112,1999-05-01,7.3,
113,1999-06-01,8.2,
114,1999-07-01,8.83,
115,1999-08-01,9.14,
116,1999-09-01,8.63,
117,1999-10-01,7.56,
118,1999-11-01,7.15,
119,1999-12-01,6.51,
120,2000-01-01,6.37,
121,2000-02-01,6.54,
122,2000-03-01,6.91,
123,2000-04-01,7.19,
124,2000-05-01,8.26,
125,2000-06-01,9.5,
126,2000-07-01,10.32,
127,2000-08-01,10.37,
128,2000-09-01,10.1,
129,2000-10-01,9.44,
130,2000-11-01,8.58,
131,2000-12-01,8.56,
132,2001-01-01,10.12,7.73
133,2001-02-01,10.26,8.04
134,2001-03-01,9.85,8.32
135,2001-04-01,10.16,8.46
136,2001-05-01,11.14,8.83
137,2001-06-01,11.58,9.07
138,2001-07-01,11.22,9.03
139,2001-08-01,10.89,9.01
140,2001-09-01,10.17,8.92
141,2001-10-01,8.24,8.84
142,2001-11-01,7.98,8.47
143,2001-12-01,7.3,8.29
144,2002-01-01,7.38,8.07
145,2002-02-01,7.23,8.19
146,2002-03-01,7.1,8.17
147,2002-04-01,7.66,8.37
148,2002-05-01,8.54,8.64
149,2002-06-01,9.58,8.73
150,2002-07-01,10.31,8.82
151,2002-08-01,10.44,8.72
152,2002-09-01,10.23,8.59
153,2002-10-01,8.61,8.47
154,2002-11-01,7.99,8.31
155,2002-12-01,7.87,8.08
156,2003-01-01,8.18,8.0
157,2003-02-01,8.58,8.02
158,2003-03-01,9.77,8.35
159,2003-04-01,10.18,8.82
160,2003-05-01,10.79,8.99
161,2003-06-01,12.08,9.25
162,2003-07-01,12.75,9.21
163,2003-08-01,12.84,9.22
164,2003-09-01,12.31,8.92
165,2003-10-01,10.64,8.85
166,2003-11-01,9.77,8.72
167,2003-12-01,9.51,8.3
168,2004-01-01,9.71,8.24
169,2004-02-01,9.85,8.33
170,2004-03-01,10.03,8.62
171,2004-04-01,10.54,8.93
172,2004-05-01,11.63,9.07
173,2004-06-01,13.08,9.29
174,2004-07-01,13.54,9.36
175,2004-08-01,13.74,9.5
176,2004-09-01,13.31,9.39
177,2004-10-01,11.69,9.05
178,2004-11-01,11.44,8.96
179,2004-12-01,11.09,8.58
180,2005-01-01,10.9,8.52
181,2005-02-01,10.87,8.76
182,2005-03-01,10.84,8.87
183,2005-04-01,11.88,9.22
184,2005-05-01,12.74,9.56
185,2005-06-01,13.79,9.79
186,2005-07-01,14.86,9.77
187,2005-08-01,15.51,9.93
188,2005-09-01,16.56,9.94
189,2005-10-01,16.44,9.76
190,2005-11-01,15.64,9.76
191,2005-12-01,14.6,9.27
192,2006-01-01,14.92,9.55
193,2006-02-01,13.98,9.8
194,2006-03-01,13.17,9.87
195,2006-04-01,13.27,10.32
196,2006-05-01,14.41,10.61
197,2006-06-01,15.07,10.85
198,2006-07-01,15.72,10.96
199,2006-08-01,16.18,10.94
200,2006-09-01,15.71,10.94
201,2006-10-01,12.51,10.58
202,2006-11-01,12.45,10.18
203,2006-12-01,12.53,9.84
204,2007-01-01,12.17,10.06
205,2007-02-01,12.13,9.89
206,2007-03-01,12.81,10.27
207,2007-04-01,13.31,10.63
208,2007-05-01,14.69,10.77
209,2007-06-01,16.28,11.09
210,2007-07-01,16.71,11.07
211,2007-08-01,16.71,11.07
212,2007-09-01,16.03,10.96
213,2007-10-01,14.57,10.82
214,2007-11-01,13.04,10.7
215,2007-12-01,12.34,10.33
216,2008-01-01,12.24,10.14
217,2008-02-01,12.58,10.16
218,2008-03-01,13.13,10.45
219,2008-04-01,14.49,10.93
220,2008-05-01,16.33,11.4
221,2008-06-01,18.91,11.77
222,2008-07-01,20.77,12.07
223,2008-08-01,20.17,12.09
224,2008-09-01,18.41,11.92
225,2008-10-01,15.45,11.81
226,2008-11-01,13.8,11.42
227,2008-12-01,12.84,10.86
228,2009-01-01,12.49,10.98
229,2009-02-01,12.26,11.18
230,2009-03-01,11.98,11.28
231,2009-04-01,11.68,11.5
232,2009-05-01,12.86,11.78
233,2009-06-01,14.26,11.81
234,2009-07-01,15.27,11.85
235,2009-08-01,15.61,11.94
236,2009-09-01,14.8,11.96
237,2009-10-01,11.78,11.65
238,2009-11-01,11.48,11.26
239,2009-12-01,10.42,10.9
240,2010-01-01,10.56,10.49
241,2010-02-01,10.69,10.89
242,2010-03-01,10.99,11.11
243,2010-04-01,11.97,11.71
244,2010-05-01,13.12,11.91
245,2010-06-01,14.86,11.91
246,2010-07-01,16.21,12.04
247,2010-08-01,16.65,12.03
248,2010-09-01,15.63,11.95
249,2010-10-01,13.37,11.86
250,2010-11-01,10.89,11.62
251,2010-12-01,9.98,11.06
252,2011-01-01,9.9,10.87
253,2011-02-01,10.14,11.06
254,2011-03-01,10.43,11.52
255,2011-04-01,11.27,11.67
256,2011-05-01,12.5,11.93
257,2011-06-01,14.7,11.97
258,2011-07-01,16.14,12.09
259,2011-08-01,16.67,12.09
260,2011-09-01,15.63,12.17
261,2011-10-01,12.85,12.08
262,2011-11-01,10.78,11.78
263,2011-12-01,9.83,11.4
264,2012-01-01,9.62,11.41
265,2012-02-01,9.47,11.51
266,2012-03-01,10.41,11.7
267,2012-04-01,10.94,11.92
268,2012-05-01,12.61,11.9
269,2012-06-01,14.18,12.09
270,2012-07-01,15.13,12.0
271,2012-08-01,15.82,12.17
272,2012-09-01,14.72,12.3
273,2012-10-01,11.68,12.03
