,Date,Florida_Index_value,Curfin,Futfin,USfufi,USnex5,Gbtime,Michigan_Index_value
0,1990-01-01,88.0,87.0,97.0,76.0,71.0,108.0,93.0
1,1990-02-01,89.0,88.0,96.0,81.0,72.0,109.0,89.5
2,1990-03-01,91.0,86.0,98.0,86.0,72.0,111.0,91.3
3,1990-04-01,91.0,91.0,99.0,86.0,77.0,103.0,93.9
4,1990-05-01,90.0,89.0,102.0,80.0,77.0,104.0,90.6
5,1990-06-01,89.0,87.0,106.0,73.0,76.0,106.0,88.3
6,1990-07-01,82.0,83.0,94.0,68.0,67.0,99.0,88.2
7,1990-08-01,78.0,82.0,94.0,58.0,66.0,92.0,76.4
8,1990-09-01,75.0,82.0,94.0,47.0,65.0,84.0,72.8
9,1990-10-01,67.0,74.0,85.0,37.0,69.0,69.0,63.9
10,1990-11-01,68.0,74.0,90.0,36.0,68.0,74.0,66.0
11,1990-12-01,71.0,75.0,92.0,38.0,76.0,71.0,65.5
12,1991-01-01,73.0,76.0,93.0,41.0,85.0,69.0,66.8
13,1991-02-01,77.0,72.0,96.0,57.0,84.0,78.0,70.4
14,1991-03-01,89.0,74.0,104.0,88.0,96.0,82.0,87.7
15,1991-04-01,86.0,77.0,96.0,83.0,87.0,85.0,81.8
16,1991-05-01,85.0,77.0,98.0,83.0,80.0,89.0,78.3
17,1991-06-01,85.0,76.0,99.0,83.0,74.0,93.0,82.1
18,1991-07-01,82.0,75.0,98.0,82.0,62.0,93.0,82.9
19,1991-08-01,81.0,74.0,98.0,77.0,64.0,91.0,82.0
20,1991-09-01,80.0,73.0,98.0,72.0,65.0,89.0,83.0
21,1991-10-01,70.0,66.0,92.0,54.0,63.0,76.0,78.3
22,1991-11-01,69.0,60.0,91.0,53.0,63.0,76.0,69.1
23,1991-12-01,64.0,61.0,92.0,37.0,63.0,67.0,68.2
24,1992-01-01,74.0,67.0,98.0,53.0,71.0,80.0,67.5
25,1992-02-01,73.0,65.0,92.0,49.0,79.0,79.0,68.8
26,1992-03-01,77.0,68.0,95.0,65.0,75.0,81.0,76.0
27,1992-04-01,81.0,75.0,100.0,66.0,78.0,85.0,77.2
28,1992-05-01,78.0,73.0,95.0,75.0,63.0,83.0,79.2
29,1992-06-01,77.0,74.0,92.0,75.0,65.0,82.0,80.4
30,1992-07-01,77.0,73.0,97.0,66.0,62.0,83.0,76.6
31,1992-08-01,72.0,71.0,94.0,54.0,58.0,84.0,76.1
32,1992-09-01,79.0,74.0,100.0,64.0,65.0,94.0,75.6
33,1992-10-01,79.0,69.0,94.0,66.0,77.0,91.0,73.3
34,1992-11-01,82.0,68.0,95.0,81.0,84.0,82.0,85.3
35,1992-12-01,91.0,76.0,100.0,93.0,89.0,96.0,91.0
36,1993-01-01,91.0,78.0,100.0,93.0,83.0,102.0,89.3
37,1993-02-01,84.0,75.0,93.0,86.0,75.0,93.0,86.6
38,1993-03-01,82.0,76.0,91.0,78.0,73.0,93.0,85.9
39,1993-04-01,82.0,77.0,90.0,77.0,71.0,97.0,85.6
40,1993-05-01,77.0,74.0,88.0,66.0,61.0,96.0,80.3
41,1993-06-01,78.0,79.0,91.0,64.0,61.0,95.0,81.5
42,1993-07-01,76.0,74.0,92.0,59.0,56.0,99.0,77.0
43,1993-08-01,78.0,78.0,88.0,63.0,61.0,98.0,77.3
44,1993-09-01,78.0,74.0,91.0,68.0,62.0,97.0,77.9
45,1993-10-01,78.0,75.0,91.0,66.0,64.0,96.0,82.7
46,1993-11-01,83.0,78.0,94.0,75.0,67.0,102.0,81.2
47,1993-12-01,90.0,82.0,96.0,87.0,79.0,104.0,88.2
